# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	219
#@/user_id	laysan_mac
a 	啊	c=2 d=1.06733 t=219
xing a 	行啊	c=1 d=1 t=219
xing ba 	行吧	c=1 d=0.390628 t=219
xiu 	休	c=1 d=0.625002 t=219
xuan 	選	c=1 d=0.443799 t=219
xuan na ge 	選哪個	c=1 d=0.394554 t=219
ye mian 	頁面	c=2 d=1.42932 t=219
yi ge yue 	一個月	c=1 d=0.628135 t=219
yong hu 	用戶	c=1 d=0.752014 t=219
you 	又	c=1 d=0.371577 t=219
you 	有	c=1 d=0.546074 t=219
yuan gun gun 	圆滚滚	c=1 d=0.451581 t=219
yuan qi jian 	元器件	c=1 d=0.362402 t=219
za 	咋	c=1 d=0.366045 t=219
zai 	再	c=1 d=0.438235 t=219
zai liao 	再聊	c=0 d=0.0390628 t=219
zan cun 	暫存	c=1 d=0.748264 t=219
zhen 	陣	c=1 d=0.751229 t=219
zhi 	值	c=2 d=1.34955 t=219
zhu xian 	誅仙	c=0 d=0.067368 t=219
zhu xian zhen 	誅仙陣	c=1 d=0.677057 t=219
zi dian 	字典	c=6 d=4.89454 t=219
zou 	走	c=1 d=0.423162 t=219
zui duo 	最多	c=1 d=0.694197 t=219
